Lat,Long,Airport_name,City,State,Country,Iata_code
30.189243,78.176651,Dehradun Jolly Grant Airport,Dehradun (Jauligrant),Uttarakhand,India,DED
21.649524,69.656405,Porbandar Airport,Porbandar,Gujarat,India,PBD
25.70359993,91.97869873,Shillong Airport,Shillong,Meghalaya,India,SHL
10.766223,78.71774,Tiruchirappalli International Airport,Tiruchirappalli,Tamil Nadu,India,TRZ
23.840599,92.619698,Lengpui Airport,Aizawl (Lengpui),Mizoram,India,AJL
23.6225,87.243,Kazi Nazrul Islam Airport,Durgapur,West Bengal,India,RDP
32.1651,76.263397,Kangra Airport,Gaggal,Himachal Pradesh,India,DHM
15.36170006,75.0848999,Hubli Airport,Hubli,Karnataka,India,HBX
26.404301,80.410103,Kanpur Airport,Kanpur,Uttar Pradesh,India,KNU
32.233611,75.634444,Pathankot Airport,Pathankot,Punjab,India,IXP
11.968,79.812,Pondicherry Airport,Puducherry (Pondicherry),Pondicherry,India,PNY
15.16279984,76.88279724,Bellary Airport,Bellary,Karnataka,India,BEP
17.9081,77.487099,Bidar Airport / Bidar Air Force Station,Bidar,Karnataka,India,IXX
24.308657,92.00768,Kailashahar Airport,Kailashahar,Tripura,India,IXH
21.317101,70.270401,Keshod Airport,Keshod,Gujarat,India,IXK
25.16020012,75.84559631,Kota Airport,Kota,Rajasthan,India,KTU
24.503401,81.220299,"Rewa Airport, Chorhata, REWA",Rewa,Madhya Pradesh,India,REW
22.256571,84.815193,Rourkela Airport,Rourkela,Odisha,India,RRK
20.7131,70.921097,Diu Airport,Diu,Dadra and Nagar Haveli and Daman and Diu,India,DIU
25.26169968,88.79560089,Balurghat Airport,Balurghat,West Bengal,India,RGH
24.061899,91.603897,Khowai Airport,Khowai,Tripura,India,IXN
25.01018,88.126917,Malda Airport,Malda,West Bengal,India,LDA
24.134325,91.810769,Kamalpur Airport,Manik Bhandar,Tripura,India,IXQ
12.23,76.655833,Mysore Airport,Mysore,Karnataka,India,MYQ
10.723835,79.109457,Thanjavur Air Force Station,Thanjavur,Tamil Nadu,India,TJV
25.88389969,93.77110291,Dimapur Airport,Dimapur,Nagaland,India,DMU
26.29330063,78.22779846,Gwalior Airport,Gwalior,Madhya Pradesh,India,GWL
27.2955,94.097603,Lilabari North Lakhimpur Airport,Lilabari,Assam,India,IXI
26.591007,74.812956,Kishangarh Airport Ajmer,Ajmer (Kishangarh),Rajasthan,India,KQH
21.9884,82.111,Bilaspur Airport,Bilaspur,Chhattisgarh,India,PAB
26.73970032,83.4496994,Gorakhpur Airport,Gorakhpur,Uttar Pradesh,India,GOP
14.513154,78.769183,Kadapa Airport,Kadapa,Andhra Pradesh,India,CDP
19.688752,74.377354,Shirdi Airport,Kakadi,Maharashtra,India,SAG
23.1127,70.100304,Kandla Airport,Kandla,Gujarat,India,IXY
18.411501,76.464699,Murod Kond Airport,Latur,Maharashtra,India,LTU
19.18330002,77.3167038,Nanded Airport,Nanded,Maharashtra,India,NDC
15.716288,78.16923,Kurnool Airport,Orvakal,Andhra Pradesh,India,KJB
29.0334,79.473701,Pantnagar Airport,Pantnagar,Uttar Pradesh,India,PGH
20.698931,77.056883,Akola Airport,Akola,Maharashtra,India,AKD
28.42210007,79.45079803,Bareilly Air Force Station,Bareilly,Uttar Pradesh,India,BEK
28.07060051,73.2071991,Nal Airport,Bikaner,Rajasthan,India,BKB
20.434401,72.843201,Daman Airport,Daman,Dadra and Nagar Haveli and Daman and Diu,India,NMB
26.96683,93.638792,Itanagar Donyi Polo Hollongi Airport,Hollongi,Arunachal Pradesh,India,HGI
9.153056,92.819273,Car Nicobar Air Force Base,IAF Camp,Andaman and Nicobar Islands,India,CBD
26.776534,83.889214,Kushinagar International Airport,Kushinagar,Uttar Pradesh,India,KBK
26.119101,85.313698,Muzaffarpur Airport,Muzaffarpur,Bihar,India,MZU
11.7833004,78.06559753,Salem Airport,Salem,Tamil Nadu,India,SXV
17.62800026,75.93479919,Solapur Airport,Solapur,Maharashtra,India,SSE
27.588301,93.828102,Ziro Airport,Ziro,Arunachal Pradesh,India,ZER
31.4338,75.758797,Adampur Airport,Adampur,Punjab,India,AIP
19.074301,82.036797,Jagdalpur Airport,Jagdalpur,Chhattisgarh,India,JGB
8.724241,78.025803,Tuticorin Airport,Vagaikulam,Tamil Nadu,India,TCR
26.3305,89.467201,Cooch Behar Airport,Cooch Behar,West Bengal,India,COH
27.98550034,94.22280121,Daporijo Airport,Daporijo,Arunachal Pradesh,India,DEP
18.87999916,82.55200195,Jeypore Airport,Jeypore,Odisha,India,PYB
11.61295605,79.5273819,Neyveli Airport,Neyveli,Tamil Nadu,India,NVY
18.281,76.0574,Osmanabad Airport,Osmanabad,Maharashtra,India,OMN
27.2313,88.587196,Pakyong Airport,Pakyong,Sikkim,India,PYG
28.064786,95.336952,Pasighat Airport,Pasighat,Arunachal Pradesh,India,IXT
33.37789917,74.31520081,Rajouri Airport,Rajouri,Jammu and Kashmir,India,RJI
18.701,79.3923,Basanth Nagar Airport,Ramagundam,Telangana,India,RMD
26.141867,89.907892,Rupsi Airport,Rupsi,Assam,India,RUP
27.94120026,96.13439941,Tezu Airport,Tezu,Arunachal Pradesh,India,TEI
15.175921,76.63303,Jindal Vijaynagar Airport,Toranagallu,Karnataka,India,VDY
17.9144,79.602203,Warangal Airport,Warangal,Telangana,India,WGC
